Fórmula	Adicional	Tipo	Quantidade	Peso Cru	Cliente	Finalização	Data de entrega	Retirar na Loja	Status	Quantidade por pacote	Preço	Total	TOTAL 
TARDE P. AO LEVAIN		CIAB	4	0.13	LOJA SABADIN	FARINHA	26/09/2018	Retirar na loja	Pendente	3	4.66	18.64	1.56
TARDE P. AZEITE RUST.		BAG	5	0.25	LOJA SABADIN	FARINHA	26/09/2018	Retirar na loja	Pendente	1	2.94	14.7	1.25
VINHEDO RUST.		BAG P	3	0.13	LOJA SABADIN	GRAOS	26/09/2018	Retirar na loja	Pendente	3	8.63	25.89	1.17
CROISSANT	CHOCOLATE	CROISSANT	10	0.1	Lunna Confeitaria	EGGWASH	26/09/2018	Retirar na loja	Pendente	1	4.6	46	1
CROISSANT	MAÇÃ	CROISSANT	10	0.12	Lunna Confeitaria		26/09/2018	Retirar na loja	Pendente	1	4.6	46	1.2
DONUTS	CREME DE BAUNILHA	PH	1	0.04	Lunna Confeitaria	COB. DONUTS	26/09/2018	Retirar na loja	Pendente	6	15.3	15.3	0.24
DONUTS	DOCE DE LEITE	PH	1	0.04	Lunna Confeitaria	COB. DONUTS	26/09/2018	Retirar na loja	Pendente	6	15.3	15.3	0.24
DONUTS	CHOC. C/ AVELÃ	PH	2	0.04	Lunna Confeitaria	COB. DONUTS	26/09/2018	Retirar na loja	Pendente	6	15.3	30.6	0.48
DONUTS	FRUTAS VERMELHAS	PH	1	0.04	Lunna Confeitaria	COB. DONUTS	26/09/2018	Retirar na loja	Pendente	6	15.3	15.3	0.24
SPONGEGG		SEM ARO 	20	0.07	MISTURA MATARAZZO	EGGWASH	27/09/2018	Retirar na loja	Pendente	6	10.5	210	8.4
VEGANO TRAD.		PH	6	0.03	MISTURA MATARAZZO	GERGELIM	27/09/2018	Retirar na loja	Pendente	15	8.63	51.78	2.7
BAG. PRIMAS		BAG M	12	0.37	PRIMO SOROCABA		26/09/2018	Retirar na loja	Pendente	5	18.4	220.8	22.2
AMANTEIGADO		BAG P	15	0.13	TERRA PURA CAFÉ	FARINHA	26/09/2018		Pendente	5	7.48	112.2	9.75
CASEIRINHO		PH ARO 11	2	0.09	TERRA PURA CAFÉ	GERGELIM NEGRO	26/09/2018		Pendente	6	11.18	22.36	1.08
COOKIES CHOCOLATE			1	0.05	TERRA PURA CAFÉ		26/09/2018		Pendente	10	20.7	20.7	0.5
COOKIES TRADICIONAL			1	0.05	TERRA PURA CAFÉ		26/09/2018		Pendente	10	18.98	18.98	0.5
BREZEL		BAGEL	1	0.1	TITA COCINA	GERGELIM	27/09/2018		Pendente	10	19.55	19.55	1
BREZEL		BAGEL	1	0.1	TITA COCINA	GERGELIM NEGRO	27/09/2018		Pendente	10	19.55	19.55	1
CROISSANT		CROISSANT	5	0.1	TITA COCINA		27/09/2018		Pendente	3	10.35	51.75	1.5
GRISSINIS			2	0.1	TITA COCINA	GRISSINI	27/09/2018		Pendente	1	5	10	0.2
MALTADO	CASTANHA DO PARÁ E AMENDOIM	BATARD	4	0.6	TITA COCINA	FARINHA	27/09/2018		Pendente	1	6.79	27.16	2.4
P. AO LEVAIN	AZEITONAS	CIAB	5	0.15	TITA COCINA	FARINHA	27/09/2018		Pendente	3	7.59	37.95	2.25
VINHEDO RUST.		BAG P	2	0.13	TITA COCINA	GRAOS	27/09/2018		Pendente	6	13.8	27.6	1.56
CASEIRINHO		HD	3	0.1	TULIO GOURMET	GERGELIM	26/09/2018		Pendente	6	11.04	33.12	1.8
CASEIRINHO		PH ARO 11	20	0.09	TULIO GOURMET	FARINHA	26/09/2018		Pendente	6	10.07	201.4	10.8
CASEIRINHO		HD	3	0.1	TULIO GOURMET	GERGELIM	26/09/2018		Pendente	6	11.04	33.12	1.8
CASEIRINHO		PH ARO 11	20	0.09	TULIO GOURMET	FARINHA	26/09/2018		Pendente	6	10.07	201.4	10.8
